image_name,object_id,class_label,x_min,y_min,x_max,y_max,occlusion,truncation,small_distant,ambiguity,notes
image_01.jpg,C01_OBJ_001,Traffic Cone,719.7,495.1,736.2,562.38,None,None,False,None,
image_01.jpg,C01_OBJ_002,Barrier,2.03,463.32,255.79,582.82,Partial,Partial,False,None,
image_01.jpg,C01_OBJ_003,Truck,280.6,456.43,526.2,573.4,Partial,None,False,None,
image_01.jpg,C01_OBJ_004,Traffic Cone,596.9,492.1,630.0,555.5,Partial,None,False,None,
image_01.jpg,C01_OBJ_005,Traffic Cone,681.69,493.17,698.17,564.33,None,None,False,None,
image_01.jpg,C01_OBJ_006,Truck,1403.98,417.14,1600.0,545.8,None,None,False,None,
image_01.jpg,C01_OBJ_007,Construction Vehicle,0.9,399.25,238.87,461.28,Partial,None,False,None,
image_02.jpg,C02_OBJ_001,Car,870.72,414.64,905.05,444.81,Partial,None,True,None,
image_02.jpg,C02_OBJ_002,Truck,1264.0,412.56,1468.9,489.5,Partial,None,False,None,
image_02.jpg,C02_OBJ_003,Car,684.5,409.44,730.3,452.09,None,None,True,None,
image_02.jpg,C02_OBJ_004,Car,0.0,506.43,93.8,759.06,None,Heavy,False,None,
image_02.jpg,C02_OBJ_005,Car,1049.7,426.09,1298.28,606.06,None,None,False,None,
image_02.jpg,C02_OBJ_006,Car,1351.34,385.51,1598.93,709.05,Partial,Partial,False,None,
image_02.jpg,C02_OBJ_007,Truck,778.13,386.6,936.3,436.49,None,None,True,None,
image_02.jpg,C02_OBJ_008,Car,825.0,410.48,858.23,438.57,Partial,None,True,None,
image_03.jpg,C03_OBJ_001,Construction Vehicle,546.94,352.7,659.63,465.5,None,None,False,None,
image_03.jpg,C03_OBJ_002,Car,721.59,425.69,746.1,452.12,Heavy,None,True,Class,
image_03.jpg,C03_OBJ_003,Car,803.55,428.6,819.54,443.17,None,None,True,None,
image_03.jpg,C03_OBJ_004,Car,827.51,432.7,844.37,446.3,None,None,True,Class,
image_03.jpg,C03_OBJ_005,Truck,891.08,424.88,924.9,456.84,None,None,True,Class,
image_03.jpg,C03_OBJ_006,Construction Vehicle,1176.32,222.94,1598.17,588.87,Partial,Partial,False,None,
image_03.jpg,C03_OBJ_007,Car,1077.43,456.0,1117.13,484.75,Partial,None,True,Boundary,
image_03.jpg,C03_OBJ_008,Construction Vehicle,947.5,422.65,1017.43,467.6,None,None,False,None,
image_03.jpg,C03_OBJ_009,Traffic Cone,1436.35,527.0,1485.88,610.06,None,None,False,None,
image_03.jpg,C03_OBJ_010,Truck,1192.4,380.0,1402.14,501.6,Heavy,None,False,None,
image_03.jpg,C03_OBJ_011,Truck,486.5,406.06,578.1,470.25,Partial,None,False,None,
image_03.jpg,C03_OBJ_012,Car,663.17,418.4,738.31,455.34,Partial,None,True,None,
image_04.jpg,C04_OBJ_001,Traffic Cone,762.8,494.8,798.1,517.2,None,None,True,None,
image_04.jpg,C04_OBJ_002,Traffic Cone,115.0,518.6,156.4,589.33,None,None,False,None,
image_04.jpg,C04_OBJ_003,Traffic Cone,949.46,507.41,955.6,528.79,None,None,False,None,
image_04.jpg,C04_OBJ_004,Traffic Cone,964.17,505.5,978.33,532.67,None,None,False,None,
image_04.jpg,C04_OBJ_005,Car,289.26,491.83,474.1,600.3,None,None,False,None,
image_04.jpg,C04_OBJ_006,Car,511.8,497.92,602.0,554.0,None,None,False,None,
image_04.jpg,C04_OBJ_007,Car,638.7,491.2,707.2,544.68,None,None,False,None,
image_04.jpg,C04_OBJ_008,Traffic Cone,736.79,498.72,741.8,515.0,None,None,True,None,
image_04.jpg,C04_OBJ_009,Traffic Cone,266.9,522.3,290.48,574.71,None,None,True,None,
image_04.jpg,C04_OBJ_010,Car,697.23,488.28,736.2,521.8,Partial,None,True,None,
image_04.jpg,C04_OBJ_011,Traffic Cone,940.6,505.75,947.8,531.29,None,None,True,None,
image_04.jpg,C04_OBJ_012,Car,856.1,486.59,898.1,514.63,Partial,None,True,None,
image_04.jpg,C04_OBJ_013,Car,905.76,488.79,941.98,517.1,Partial,None,True,None,
image_04.jpg,C04_OBJ_014,Car,950.85,483.82,983.6,524.9,Partial,None,True,Class,
image_05.jpg,C05_OBJ_001,Pedestrian,154.3,422.93,209.5,548.12,Partial,None,False,None,
image_05.jpg,C05_OBJ_002,Pedestrian,235.5,421.8,302.0,546.99,None,None,False,None,
image_05.jpg,C05_OBJ_003,Car,953.91,443.23,984.36,498.5,Heavy,None,True,Class,
image_05.jpg,C05_OBJ_004,Car,980.98,430.83,1030.6,519.9,Heavy,None,True,Class,
image_05.jpg,C05_OBJ_005,Car,507.29,426.27,638.1,523.27,Partial,None,False,None,
image_05.jpg,C05_OBJ_006,Car,604.33,425.23,759.93,549.25,None,None,False,None,
image_05.jpg,C05_OBJ_007,Car,752.03,430.83,784.74,484.96,Heavy,None,True,None,
image_05.jpg,C05_OBJ_008,Traffic Cone,791.5,446.4,856.9,470.3,Partial,None,True,Class,
image_05.jpg,C05_OBJ_009,Car,985.5,434.21,1126.47,544.7,Partial,None,False,None,
image_06.jpg,C06_OBJ_001,Traffic Cone,463.8,510.0,472.4,536.4,Heavy,None,True,Boundary,
image_06.jpg,C06_OBJ_002,Traffic Cone,477.2,514.3,485.8,539.4,Heavy,None,True,Boundary,
image_06.jpg,C06_OBJ_003,Traffic Cone,488.8,516.26,497.58,540.9,Partial,None,True,None,
image_06.jpg,C06_OBJ_004,Traffic Cone,498.8,517.6,509.9,544.7,Partial,None,True,Boundary,
image_06.jpg,C06_OBJ_005,Traffic Cone,510.9,520.17,520.9,547.6,Partial,None,True,Boundary,
image_06.jpg,C06_OBJ_006,Traffic Cone,515.81,526.4,534.22,562.7,Partial,None,True,Boundary,
image_06.jpg,C06_OBJ_007,Traffic Cone,531.68,526.84,541.86,561.5,Partial,None,True,None,
image_06.jpg,C06_OBJ_008,Traffic Cone,534.8,531.34,555.8,575.6,None,None,True,None,
image_07.jpg,C07_OBJ_001,Trailer,747.74,463.65,804.14,525.68,None,None,True,Class,
image_07.jpg,C07_OBJ_002,Trailer,1493.23,496.35,1595.86,550.49,Partial,Partial,False,Boundary,
image_07.jpg,C07_OBJ_003,Car,1342.3,515.5,1418.07,541.7,Heavy,None,True,Boundary,
image_07.jpg,C07_OBJ_004,Car,1306.2,515.49,1338.0,538.2,Heavy,None,True,Boundary,
image_07.jpg,C07_OBJ_005,Car,1287.0,508.88,1336.75,536.2,Heavy,None,True,Boundary,
image_07.jpg,C07_OBJ_006,Car,1194.0,499.72,1287.46,544.8,Partial,None,True,None,
image_07.jpg,C07_OBJ_007,Car,1153.71,491.6,1217.9,535.47,Partial,None,True,None,
image_08.jpg,C08_OBJ_001,Pedestrian,474.3,453.27,527.86,599.93,Partial,None,False,None,
image_08.jpg,C08_OBJ_002,Traffic Cone,682.5,529.7,696.2,557.5,None,None,True,None,
image_08.jpg,C08_OBJ_003,Traffic Cone,699.3,527.6,709.2,553.6,None,None,True,None,
image_08.jpg,C08_OBJ_004,Traffic Cone,710.7,524.7,720.9,548.4,None,None,True,None,
image_08.jpg,C08_OBJ_005,Traffic Cone,725.0,526.12,734.4,543.4,Partial,None,False,Boundary,
image_08.jpg,C08_OBJ_006,Pedestrian,878.6,496.4,892.2,509.12,Partial,None,True,Boundary,
image_08.jpg,C08_OBJ_007,Pedestrian,1026.7,492.67,1045.5,561.3,None,None,True,None,
image_08.jpg,C08_OBJ_008,Car,1102.79,513.44,1164.46,555.6,None,None,False,None,
