review_id,annotator_polarity,annotator_intensity,qa_polarity,qa_intensity,polarity_agreement,intensity_agreement,final_polarity,final_intensity
en_0452426,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0591222,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0243936,Negative,High,Negative,High,True,True,Negative,High
en_0712253,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0186916,Negative,High,Negative,High,True,True,Negative,High
en_0236997,Negative,High,Negative,High,True,True,Negative,High
en_0106298,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0210313,Negative,High,Negative,High,True,True,Negative,High
en_0527053,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0701693,Negative,High,Negative,High,True,True,Negative,High
en_0087265,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0829326,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0097412,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0576739,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0049996,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0023683,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0281032,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0987542,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0517055,Negative,High,Negative,High,True,True,Negative,High
en_0075327,Negative,Medium,Negative,Medium,True,True,Negative,Medium
