id,document,ground_truth,polarity,intensity,lang
5824175,어휴 이거 영화니?,Negative,Negative,High,ko
6231066,알바들 다 죽어라 ㅋㅋㅋ,Negative,Negative,High,ko
9710041,조온나 지루함. 중도하차잼,Negative,Negative,High,ko
7865707,연기 드럽게 목하는색이가 무쉰 주인공 한다고... 담부터 절대 연기하지마라 OO아,Negative,Negative,High,ko
1815064,재미없어 킬빌이 더 낳아 -_- 킬빌이랑 비교도 안되는구만 .,Negative,Negative,Medium,ko
6781382,의형제인 카오맨이 배신하는 동기나 그 이후에 진횡을 휘두르는 전개가 너무 말도 않되는 억지다. 아무리 군벌이 득세하는 혼란기였다해도 모시던 장군을 대놓고 배신하고 반대하는 부하들이나 타 군벌의 장군들을 무조건 총칼로 위협해 다 굴복시키고...무슨..,Negative,Negative,Medium,ko
8897029,윤아가말이되나요제발다시생각해주길바래요ㅜ진짜연기자다운사람으로진짜어딜윤아가 .. .. 제발거짓말이라고해줘요,Negative,Negative,High,ko
8815444,독립영화 보다 못한 게OOO영화,Negative,Negative,High,ko
2230701,좀 더 포장을 해주시지..,Negative,Negative,Low,ko
9318206,난2등이라 2점 ㅋ드립니당,Negative,Negative,Low,ko
579912,프레디 디지다........,Negative,Negative,Low,ko
9777516,여기 그어디에도 최고급리조트는 안나온다.작가는 리조트에서 놀아본적이 없나봐~ 이 영화에 돈이 제일 많이 들어간곳은 아마도 오징어 먹물일듯!!,Negative,Negative,Medium,ko
10032742,정말 솔직하게 말하는데.재미없어요.,Negative,Negative,Medium,ko
9387278,경호원들은 밖에 무장병력이 많은거 알텐데 거기에다 딸랑 권총들고 닥돌하는거보면;,Negative,Negative,Medium,ko
3810887,더럽게 재미엇ㅂ다 진짜 이것도 후한 점수,Negative,Negative,High,ko
3286373,4편까지 만들어서 망신 당하는 꼴은 안 봤으면.,Negative,Negative,Medium,ko
3141770,귀여운 제니퍼 하는짓은 별로 안귀엽네.,Negative,Negative,Medium,ko
9224415,트랜스포머라는 영화의 진화는 곳 멸망?,Negative,Negative,Medium,ko
7596657,진짜 오글거림ㄷ 포화속으로 보다가 김혜성 귀여워 보여서 이 영화 봤는데 진짜 이 영화 별로임ㄷ 내가 점수 후하게 주는데 이영화는 1점조차 아깝달까?,Negative,Negative,High,ko
6803263,아 진짜 안볼려고 하는데 자꾸 보고있는 나~보고있으면 열받고~~강이경 처음에는 불쌍하다고 생각했는데 이제 짜증난다 착한척도 정도것이지~~ 그만 착한척 하고 반전을 보여주시징~~,Negative,Negative,High,ko
