review_id,annotator_polarity,annotator_intensity,qa_polarity,qa_intensity,polarity_agreement,intensity_agreement,final_polarity,final_intensity
en_0328488,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0462975,Negative,High,Negative,High,True,True,Negative,High
en_0565881,Negative,High,Negative,Low,True,False,Negative,Low
en_0636834,Negative,High,Negative,High,True,True,Negative,High
en_0106633,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0087364,Negative,High,Negative,High,True,True,Negative,High
en_0867652,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0779152,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0879650,Negative,High,Negative,High,True,True,Negative,High
en_0635600,Negative,High,Negative,High,True,True,Negative,High
en_0863454,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0100838,Negative,High,Negative,High,True,True,Negative,High
en_0378808,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0167781,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0995880,Negative,High,Negative,High,True,True,Negative,High
en_0066766,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0229378,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0020171,Negative,High,Negative,High,True,True,Negative,High
en_0968777,Negative,High,Negative,Medium,True,False,Negative,Medium
en_0193755,Negative,High,Negative,High,True,True,Negative,High
