review_id,review_title,review_body,final_polarity,final_intensity,language
en_0460401,"Envelope doesn't seal, but forms are fine",The Envelope adhesive was applied to the wrong areas so when you fold the envelope the 2 self sealing adhesives don't line up. I had to tape each envelope because even liquid envelope adhesive sealer didn't work because one side of it was hitting the self sealing adhesive. The pic shows and outline where the adhesive hits and how the 2 sides don't line up. The forms were good and worked with QuickBooks fine.,Negative,Medium,en
en_0608807,Fake REVIEWS,use fakespot.com to analyze the quality of the reviews after I purchased the product. It is full of unreliable feedback,Negative,High,en
en_0724758,Some good...some the same contained in other collections.,"L' Amour stories all rate an A+, except for one of his earlier shorts. But the collections bother me. I have read several of the collections in which I have found one or more shorts in them that I read in another collection. Seems to me somebody is just trying to stuff the book to make more money. I doubt I'Amour was that type of a person. A",Negative,Medium,en
en_0227686,Is different than I ordered,Completely different cover than I ordered. I didn’t return it due to school starting and needing it.,Negative,Medium,en
en_0446730,Cute but little too big,Bear was alittle too big. The description of product didn't have size of cutters.,Negative,Medium,en
en_0615055,Nice bowls with poor attachment features,"After prying (and I mean prying to point of bending steel) the two bowls apart, we found that the clamp doesn't really snug up against most standard cage wire very well. You'll need to add some washers or rubber to keep the bowls from tipping sideways :(",Negative,Medium,en
en_0543284,Two Stars,Magnetic connections fail soon after using it. Lasted 4 weeks,Negative,Medium,en
en_0341678,Deformed but sturdy,The colors of the fiesta tortilla warmers were vibrant and awesome. I loved the idea of having three. The plastic seemed very durable. The reason for two stars: The kids seemed to go very far into the container making little room for the tortillas. I returned these because one of the container was deformed and the lid would not fit the container. Wish they would have worked.,Negative,Medium,en
en_0056650,The color is way off,The color is way off and the picture doesn't fit the whole screen.,Negative,Medium,en
en_0170892,End of wand is weak,Cats loved it until the tip broke off it could be a bit more durable but all in all decent cat toy,Negative,Low,en
en_0436046,Broken end caps,I bought it from Amazon warehouse and it said it might have missing bolts that is fine but it came with bolts and broken end caps,Negative,Medium,en
en_0714896,"These are NOT ""skinny shorts""","The legs of these shorts are HUGE. (No, I do NOT have skinny thighs). I am 5'3"", 155 pounds and purchased a size 10. The waist sits right below my waist, but the crotch is very tight. Pulling the front of the shorts down in the front did not work. The material is okay, not heavyweight, but good for summer, hence the 2 star rating.",Negative,High,en
en_0063224,Cute but too short and the elastic on shoulders tights,well this dress is super cute and flirty- i have a large chest size so unfortunately it was too tight and the elastic around the shoulders do not give grace to it was even tighter- cute but returned,Negative,Medium,en
en_0648519,Way to short,Did not look like picture. Was more like a shirt than a actual dress.,Negative,Medium,en
en_0776613,Poor packaging,"Box came in broken, impossible to remove product from bottle, and the scent is a little off; almost like rotten limes. Would not recommend.",Negative,High,en
en_0099671,Not reliable,The money didnt shoot out very well. I returned this item. I was not a huge fan,Negative,Medium,en
en_0032500,Not worth the price,"Cheaply made, doesn't pair half the time, and the sound cuts in and out a lot.",Negative,High,en
en_0065166,NOT GOOD,My little one said it is uncomfortable and we have a standard round toilet seat and the training seat would not fit it in!!!!,Negative,High,en
en_0965257,Not for walkers,"Velcro came off on one shoe after two weeks of wearing. Also, not suitable for walking outside especially when the ground is wet (I should have read the description better - crib shoes for sure).",Negative,Medium,en
en_0661278,Old candy,These were old Christmas candy.,Negative,Low,en
