id,document,ground_truth,polarity,intensity,lang
3479817,마지막 공리와의 이별 엔딩은 이 영화의 꼽힐수 있는 명장면과 명대사..,Positive,Positive,High,ko
9874591,우연히 영화채널돌리다 보게됐는데 늦게 본게 아쉽네요 ㅎ 꿀잼꿀감동 나중에 또봐야지,Positive,Positive,High,ko
10133486,짐캐리 배우는 정말 멋지다!,Positive,Positive,High,ko
9643272,첨부터 끝까지 재밌음!!,Positive,Positive,High,ko
9809106,희대의 명작입니다 빨리 뒷이야기나 전이야기도 영화로 만들어졌으면좋겠습니다,Positive,Positive,High,ko
6588597,꾀 재밋고 로맨스와 재미가 돋보이나 조큼 아쉽긴 하네요 그래도 보면서 다음회가 무지 기다려지고 기대되는 드라마!,Positive,Positive,Medium,ko
8815532,이게 왜 유치하다고 할까 ? 어린이용 영화이고 또 내용도 상당히 잘된 작품이다. 씨리즈 뒤로 갈수록 산으로 갔지만 1-3 편은 명작이다.,Positive,Positive,Medium,ko
9329368,아름다운 영화다. 마지막엔 감동이...,Positive,Positive,Medium,ko
9959573,화끈한 액션이 좋았고 여주가 미인이다.,Positive,Positive,Medium,ko
10216973,거의10년전영화인데도 지금의 이성관이랑 다를게없네요.익숙함에 속아 소중함을잃지말자.. ㅜㅜ,Positive,Positive,Medium,ko
6074742,윤계상 키스신만 봄,Positive,Unclear,Low,ko
5630953,볼만한 작품이다. 마지막에 두명의 끈끈한 우정을 봐서 감동이었다.,Positive,Positive,Medium,ko
8027961,리메이크 됐으면 좋겠습니다 ㅠㅠ,Positive,Positive,Low,ko
4910465,원작 만화의 원래 제목이 나오코임. 한국에선 스타트로 출간.,Positive,Unclear,Low,ko
1487528,good,Positive,Positive,Low,ko
7339781,"정말 최고의 감동적인 드라마였습니다. 뭉클해저서, 몇번이나 울었는지 모르겠네요.",Positive,Positive,High,ko
4445312,절망이 아닌 희망으로 사는 장애인도 똑같이 대우받아야 합니다,Positive,Unclear,Low,ko
7528437,결말이좋다 진짜 슬프다..안젤라 나쁜년,Positive,Positive,Medium,ko
9778788,ㄱㄱㄱ개좋으뮤ㅠㅠ Yui,Positive,Positive,High,ko
6701795,훈훈한 가족영화 나름 재밌음ㅋㅋㅋ,Positive,Positive,Medium,ko
8359485,생생저금통으로 제목을 바꿔라. ㅡㅡㅗ,Positive,Negative,Medium,ko
6616926,아련하고 왠지 모르게 따뜻한 영화 입니다. 좋아요!!,Positive,Positive,Medium,ko
8117338,괜찮은 영화인데 평점이 너무 낮네 평점올리기 10점주고감 스릴러로선 나무랄데 없었던 영화,Positive,Positive,High,ko
8825820,타드라마보다 재미있는데 시청률에서 밀리는이유를 모르겠네..,Positive,Positive,Medium,ko
10148006,God's Not Dead,Positive,Unclear,Low,ko
2745979,왜일케 평점이 짜지...난진짜 재밌게 봤는데 ㅎㅎ 코미디영화로 홍보되어서 그런가,Positive,Positive,Medium,ko
9967162,1996년 그때 당시에는 우리 나라에 이런 판타지 로맨스가 없었다... 아직도 신현준의 황장군 연기는 음... 괜찮네... ㅎㅎ....한석규의 전성시대가 열린 영화.... 이때 한석규한테 뿅 갔었다~~♥,Positive,Positive,Medium,ko
7865222,10,Positive,Positive,High,ko
5492435,마음에 듭니다.,Positive,Positive,Low,ko
6121168,아이유 짱~~~~~~~~~~~,Positive,Positive,High,ko
4883801,인상적인 관계와 쇼킹한 진실들. 오래 기억될것 같은 영화,Positive,Positive,High,ko
9488556,감독의 뇌가 있는지 의심 스럽다. 분명히 에피소드 하나는 자신이 격었던 일을 스크린에 옴겨 놓은거 같다.유치하고 한숨이 나오지만 우리 삶이 다 다른것 처럼 영화를 보는 눈도 다 다르겠다. 따듯하게 감싸주지 못한 영화,Positive,Negative,High,ko
5133645,JSA 랑 비슷하지만 가슴에 더 와닿네요 강력추천!!!!,Positive,Positive,High,ko
8786334,스무번은 본 드라마에요ㅠㅠ 이런드라마가 다시 나올 수 있을지... 진짜 최고최고,Positive,Positive,High,ko
8362037,사랑으로 시작해 임신 출산 육아를 현실적으로 그린 영화.아직 경험하진 못했지만 고개가 끄덕거리며 봤다는...엔딩이 아쉽지만 내용면에서는 괜춘!!,Positive,Positive,Medium,ko
10210192,"과거에 장애인들이 얼마나 세상을 살아가기 힘들었을까 싶다, 직접적이 아닌 문학의 장르를 영화로 차용한게 이정도니 현실은 말해봐야 입아플정도로 비참했을거 같다. 안타까운 현시을 그대로 보여운 가슴아픈영화, 인간의 욕망이란 참....",Positive,Positive,Medium,ko
7718085,사극을 정말 좋아하면서도 유치찬란한 사랑놀음 사극에 대한 혐오증이 있어 까다로운데... 이건 정말 추천합니다.,Positive,Positive,High,ko
6771783,뭔가 부족한것같지만 매우 재미있네요~,Positive,Positive,Medium,ko
10190504,내가본영화가 뜻밖의여정이라니라 다섯군대전투네 ㅋㅋ 뜻밖의여정도봐야겟음.. 진짜최고 반지의제왕시리즈는안봣지만..,Positive,Positive,High,ko
2641334,로베르토 로드기게즈?? 이사람 누구야...또 다시 빠져들것 같다,Positive,Positive,Medium,ko
