review_id,annotator_polarity,annotator_intensity,qa_polarity,qa_intensity,polarity_agreement,intensity_agreement,final_polarity,final_intensity
en_0941733,Mixed,Medium,Negative,Medium,False,True,Negative,Medium
en_0021765,Neutral,Medium,Negative,High,False,False,Negative,High
en_0422019,Negative,Low,Negative,High,True,False,Negative,High
en_0886190,Negative,Medium,Negative,High,True,False,Negative,High
en_0375426,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0577473,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0900485,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0188946,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0713362,Mixed,Medium,Negative,Medium,False,True,Negative,Medium
en_0256854,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0594474,Negative,High,Negative,High,True,True,Negative,High
en_0630955,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0506275,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0876945,Negative,Medium,Negative,High,True,False,Negative,High
en_0245097,Negative,Medium,Negative,Medium,True,True,Negative,Medium
en_0461803,Unclear,Low,Negative,Low,False,True,Negative,Low
en_0597009,Neutral,Medium,Negative,Medium,False,True,Negative,Medium
en_0683035,Negative,High,Negative,High,True,True,Negative,High
en_0502771,Mixed,Medium,Negative,Medium,False,True,Negative,Medium
en_0937268,Negative,Medium,Negative,Medium,True,True,Negative,Medium
