id,document,ground_truth,polarity,intensity,lang
3013876,"평보고 DVD사서 봤는데..배우들 발연기,허접한 리얼리티와 스토리..아래 평에 낚였다",Negative,Negative,High,ko
7735285,고양이는 괴롭히면 안되고 사람은 막죽여도 된다는 거여?,Negative,Negative,Medium,ko
8609521,와우!!이건 봐야해!!,Negative,Positive,High,ko
3577649,사람 바보 만드는거 한순간... 결말이 이게뭐야???,Negative,Negative,High,ko
9305334,헐 진짜 기대하고 봤는데 뭐임?? 자격도 없으면서 대리교사라고 들어가서 아무것도 안할때부터 완전 비호감.. 계속 비호감임 왜 학교 잘다니는 애들가지고 그러는건지 이해도 안되고 진짜 어후 캐릭터 완전싫어,Negative,Negative,High,ko
5767972,볼수록 할말없어짐.,Negative,Negative,Medium,ko
10020831,저도 평점 10점 줄까하다 참습니다 제가 부디 마지막 희생양이 되었기를...,Negative,Negative,High,ko
5180398,인디애나존스3에서 감명받은 감독이 좋은 원작을 가지고 우뢰매를 만들다.,Negative,Negative,Medium,ko
5704042,빠순이 빨로 평점 6점대 유지중임 ㅇㅅㅇ,Negative,Negative,High,ko
9586682,유치함. 개연성 없음. 전형적인 아동용 판타지영화. 평점에 속았다. 매튜본 감독의 엑스맨 퍼스트클래스를 재밌게 본 나로선 기대와 달리 최악이었던 영화,Negative,Negative,High,ko
7177845,좋은 소재를 후다닥 대충 액션으로 해치우다.,Negative,Negative,Medium,ko
8469417,별 하나도 아깝다는.. 밑에 10점 9점 감독 가족 친구들이냐?,Negative,Negative,High,ko
6278939,잘못된만남~ ㅜ,Negative,Negative,Low,ko
9123931,이정도로노잼영화는처음본다..ㅎ.... 이거본 후로는 딴사람들이재미없다고한영화도재밌게보게된다,Negative,Negative,High,ko
5556888,이제 홍콩영화를 그만 봐야 할 때가 되었나? 어라. 이건 중국 영화네... 음...,Negative,Negative,Medium,ko
6344220,이런 식의 공포물은 별로,Negative,Negative,Low,ko
3843038,여자친구랑 보러 갓다가 진짜 아직도 영화보러가자고 하기 민망하다 OO,Negative,Negative,High,ko
2943784,우뢰매수준의 그래픽 ㅡㅡ; 반전도 어린이영화수준이다. 왜케 평점 높은거야?,Negative,Negative,High,ko
5463285,뇌가 없어도 감상하는데 지장이 없는 영화,Negative,Negative,High,ko
6574838,최악의 영화 중 하나,Negative,Negative,High,ko
