id,document,ground_truth,polarity,intensity,lang
9758430,이것도 재미가 없구나.,Negative,Negative,Medium,ko
9985792,맹 나온뒤로 프로그램 안봅니다.,Negative,Negative,Medium,ko
846931,욕나온다 1점도 주기싫다,Negative,Negative,High,ko
3984039,무협영화의 수치,Negative,Negative,High,ko
330827,몇번을 봤지만 한장면 빼고는 기억이 나지않는...,Negative,Negative,Medium,ko
8605057,"""* 많고많은 유령영화 """"넌 내가 사람으로 보이니 ~~~ """"""",Negative,Unclear,Low,ko
8283384,(っ '～')づ ⌒☆ ㅋㅋㅋ,Negative,Unclear,Low,ko
7224974,재미없음 ㅡㅡ,Negative,Negative,Medium,ko
9738329,이 장난스럽고 휙휙 나는 홍콩 무협영화를 즐겨 볼 때가 있었건만.,Negative,Negative,Low,ko
5042408,아 ㅅㅂ 왜0점 못주냐 .. 0.5도 아까운 OO같은영화 장르는공포판타지가아니라코믹임,Negative,Negative,High,ko
8058669,정말 잠 온다 막장중에 막장,Negative,Negative,High,ko
6400471,조정화작가는극을참잼없게만드는재주가있는듯전작을보면알수있음김선아때매억지로봄!,Negative,Negative,Medium,ko
3999176,아스트랄하다..야하다고 세계가 인정핶다는데..그런건 어디서 인정하냐?,Negative,Negative,Medium,ko
810813,액션만 눈에 선해~~~,Negative,Unclear,Low,ko
7907631,로,Negative,Unclear,Low,ko
5392347,뚝 떨어진 재미와 퀄리티,Negative,Negative,Medium,ko
1435333,ㅎ...할말을 잃을 듯한 영화...,Negative,Negative,Medium,ko
9791394,너무나 재미가 없는 3류 유치영화....말도안되는 어설픈설정.7.80년대 영화만도 못하다.... 오달수 이분은 영화선택을 잘못하신듯..,Negative,Negative,High,ko
1964664,나의 가제트를 돌려달라.,Negative,Negative,Medium,ko
7573810,bitch,Negative,Unclear,High,ko
9768335,그냥저냥한 영화네요 남주 몸이 좋았다는 것 빼고는 장점이란게 없다라고 봅니다,Negative,Negative,Low,ko
6650634,밑에 3명 퀸즈 무개념팬이다,Negative,Unclear,High,ko
4703782,린즈링이 아깝다.,Negative,Negative,Medium,ko
1385313,솔직히 별로다 크리스천을 떠나서 발로 그린영화다,Negative,Negative,High,ko
9735104,정말 제미있었어요 최고!,Negative,Positive,High,ko
8659990,"참신한 아이디어, 그러나 부실한 시나리오... 아이디어로 시작해서 아이디어로 끝나는 영화다.",Negative,Negative,Medium,ko
7847407,"탄밥에 설탕 뿌리고, 소금 뿌리고, 후추 뿌리고, 고춧가루 뿌리고, 미원 뿌리면 뭐하나? 탄밥에!!!!!",Negative,Negative,High,ko
7998550,이성재가 다시 보이네 와이프랑 애들보기 부끄럽지 않을까 우째 저런영화를 찍었을까 유부남이,Negative,Negative,Medium,ko
7285824,"다운로드2천원인데,그돈마저 아깝다..극장에서 봤을 수천명의 관객의 심정을생각하며 참아야지...",Negative,Negative,High,ko
7617671,수행평가때문에 겨우겨우봣다,Negative,Negative,Medium,ko
