id,document,ground_truth,polarity,intensity,lang
574370,신승수가 연출한게 아니라고 믿고싶군,Negative,Negative,Medium,ko
3428232,시대 배경만 매력적 .,Negative,Negative,Low,ko
4333339,"박사 둘 포함 5명 죽이고, 파리병 남한테 옮기기 성공...GoGo 파리맨?;;",Negative,Negative,Low,ko
1768626,정말 실타,Negative,Negative,High,ko
8172264,하긴 이런영화에 평점 남기는 사람들이란 머..평점이 하도 어이없어 나도 남기네,Negative,Negative,Medium,ko
8957266,재미없다 너무 현실성 없게 스토리가 이어진다,Negative,Negative,Medium,ko
7980366,남는게 없다,Negative,Negative,Medium,ko
5519473,이걸 본 내가 대단하다. 내용도 개연성도 재미도 ...,Negative,Negative,Medium,ko
3217205,이딴 영화가 무슨 공포물이라고...차라리 13고스트가 더 낫지 싶네요,Negative,Negative,Medium,ko
315189,호러다큐멘터리라고 잔뜩기대했지만. 호러가 아니었다;,Negative,Negative,Low,ko
5705366,지루함,Negative,Negative,Medium,ko
9423158,고증과 사료 파괴 판타지 사극이 또 하는구나~ 노잼 ㅎ,Negative,Negative,Medium,ko
10273958,그냥 떡밥만 막 던지다 끝나는 영화,Negative,Negative,Medium,ko
8902111,"춤을 제대로 담아내는 것도 아니고, 로맨틱을 제대로 담아내는 것도 아니다. 차라리 뮤직비디오가 더 멋있을 정도. 보아 팬이라서 봤지만 보아의 매력도 못담아낸 영화. 내 소액결제 아까움",Negative,Negative,High,ko
2157508,이해할려고 많이 노력했었는데.. 미안해;,Negative,Negative,Medium,ko
9918214,러닝타임이 93분에 불과한데도 지루하군,Negative,Negative,Medium,ko
2861986,불끄고 새벽2시에 창문열고 혼자 보는 영화는 안무서운 영화 없다 그게 이 영화 한계,Negative,Negative,Medium,ko
8021294,그냥 콜오브듀티 플레이영상을 영화화 시키는게 현명할 듯 하다.,Negative,Negative,Medium,ko
5910838,별로..,Negative,Negative,Low,ko
7858475,일본침몰 안한다면서요??,Negative,Negative,Low,ko
6032569,너무 오글거려,Negative,Negative,Medium,ko
4739501,이영화보고 빢쳐서 별점깍으러왓음ㅡㅡ,Negative,Negative,High,ko
698325,하하하하 나도 안무서운 공포물이있었다니.,Negative,Negative,Medium,ko
10092472,기독교 빠들이 빠는 영화. 좋댄다 ㅋㅋ,Negative,Negative,Medium,ko
8639783,빈 디젤의 SF액션을 가장한 3류 호러 영화.. 시작은 스펙타클하나 끝은 DVD 대여값도 아까울지다..,Negative,Negative,High,ko
1375489,기대했던 것보다 최악은 아니라서 다행이다,Negative,Negative,Low,ko
3949500,악 !!!! 짜 증 나 .,Negative,Negative,High,ko
9692147,영화필름으로 줄넘기를 만들어서 넘는것이 더 효율적이었을것 같다 필름으로도 똥을 만들수 있구나,Negative,Negative,High,ko
492523,이것도 영화라고 산만한거 맞음..,Negative,Negative,Medium,ko
8712975,다이애나를 평민으로 만든 영화,Negative,Negative,Medium,ko
