review_id,review_title,review_body,final_polarity,final_intensity,language
en_0941733,Sizing,"Ordered the size I always buy and it’s too small, disappointed in the sizing of the garment, other than that it a very nice garment.",Negative,Medium,en
en_0021765,Does not work!,"This shampoo did not remove orange from my hair, in fact, it brought back orange! It stripped the dark ash blonde dye from my hair and left it back in its orange state. My hair felt very soft in the morning, that’s why I’m giving it 2 stars. But it did not tone the orange out at all, it made my hair even more orange. I will use it a few more times and if it starts working I will update my review.",Negative,High,en
en_0422019,Too Big,Absolutely Giant. Order in the next size down. Or dont order this at all...,Negative,High,en
en_0886190,Not safe due to chemical smells.,"Extremely strong chemical smell, made my pet rats sick. I can't imagine this being safe for any animal. I let air outside for over a week, and the chemical smell is still there.",Negative,High,en
en_0375426,Didn’t do anything,"I ordered this bc my 9 year old son had a wart on the back of his head. My husband put it on his wart several times and it never went anywhere, smh.",Negative,Medium,en
en_0577473,"Initially seems good, then disappointing.","Printing looks very nice paper very nice quality, but the quality is lacking. Flaps are same image on all sides, no words on some sides. No Dumbledore office on our copy. Initially seems good, then disappointing.",Negative,Medium,en
en_0900485,Extremely small coil hair ties.,These are tiny or mini(not mentioned in description). If I had known they were this small I would not have paid $10 for just eight of them. I have to admit they do work.,Negative,Medium,en
en_0188946,Not exactly what I expected,"I think the idea has merit but lacked in performance for me. The gloves are durable but very cumbersome and unwieldy. Plus when they are covered in dish soap, they're very slippery, and I'm always afraid of dropping dishes because of the lack of grip. The silicone will not scrub off any stuck-on food either. Alas, it's back to the regular gloves and sponge for me.",Negative,Medium,en
en_0713362,Cool item but very poor packaging,"I was hoping to give this item as a gift to somebody, but the item’s box came so torn apart and dirty that I ended up getting something else for them and just keeping this for myself. Even so, I think this item is a really fun idea and would have made a great gift if it weren’t so torn apart when it arrived.",Negative,Medium,en
en_0256854,Scratch material in the waist area,"Whatever material they use for ""tummy control"" is scratchy and uncomfortable",Negative,Medium,en
en_0594474,Would not recommended buying.,Very dissatisfied with the fit. Would not recommended buying.,Negative,High,en
en_0630955,Don’t stay in place.,"They were okay for absorbing water, but they didn’t stay in place. They were constantly slipping and sliding all over the bathroom. Eventually replaced.",Negative,Medium,en
en_0506275,runs small,"The construction seems good, but it is way too small for a size large.",Negative,Medium,en
en_0876945,Full price for half the product!!!,"Bought this thinking it was a great deal just to be disappointed. This was supposed to be a brand new bottle, however, the bottle was only half full at best. I could see some of the contents dried on the outside of the neck where it appeared that someone emptied a portion of the bottle into another container. Definitely was NOT a full bottle as advertised.",Negative,High,en
en_0245097,Product used,"It is an excellent graphics card, but it came to me used, or is what I think, when it opened it was missing the backplate protector and also lacked the serial number that is also attached to the backplate, talk to Amazon about this problem. and they told me that all the products they were selling were new, it is very rare because they did not even open it.",Negative,Medium,en
en_0461803,See through,See through- the thin material,Negative,Low,en
en_0597009,I was getting more disconnections and sometimes just flat out no internet for hours when the router was working fine. My TP-Link,"It worked as intended for several months but then it sorta just died out. I was getting more disconnections and sometimes just flat out no internet for hours when the router was working fine. My TP-Link pretty much died, but it might not be the same for you, i probably just had a bad defective one. I know it's the product since i have replaced it with a different product that has yet to fail on me. Purchase with caution, might work better on a laptop than a desktop for just simple basic things like checking emails and what not. Unless you're a gamer or some one who watches streams frequently, i would recommend something else, otherwise it might be the thing for you and its affordable.",Negative,Medium,en
en_0683035,Don’t Waste Your $!!!,Ring is beautiful but not sterling silver!after about two weeks it started to tarnish i’m Very disappointed because I really liked this and also had it personally engraved,Negative,High,en
en_0502771,Lot of premarital sex.,Skipped lot of pages due to the per-marital sex. Violence. Some parts of the story were good stories.,Negative,Medium,en
en_0937268,Its a $50 camera,Its a $50 go pro. If you are expecting standard 2018 quality then you might be disappointed. Its more like 2014. Go get a used gopro,Negative,Medium,en
