id,document,ground_truth,polarity,intensity,lang
2527076,쇠맛의 역묶음질.,Negative,Negative,High,ko
9137252,예고편 보니까 점수주면안될정도인데 누가 당할까봐 적어둠,Negative,Negative,High,ko
4643740,무슨 삼류영화에 연기력 바닥인 사람들 엄청나옴 ㅋㅋ총싸우는거 보면 정말 코메디,Negative,Negative,High,ko
8453160,개연성도 없고 액션은 쌍팔년도도 내가 이걸왜보고싶고내시간 돌려줘 진짜 머 이딴영화가 다있노 진심 시간낭비하지마시길...,Negative,Negative,High,ko
5791021,다들 대단하심~ 개인적으로 보지말았어야할 영화네요. 감당키어려운 소재였음..ㅡㅡ;,Negative,Negative,Medium,ko
8557646,난 지루하던데 왜 평점이 높지??,Negative,Negative,Medium,ko
3809220,나도 욕나오는...,Negative,Negative,High,ko
8385943,소와 함께하는 선문답 장난질. 이런 맙소사!,Negative,Negative,Medium,ko
9750870,촌사러 이상한영허ㅏ 짜증남,Negative,Negative,Medium,ko
7835408,소설이 더 낫다...ㅜㅜ,Negative,Negative,Low,ko
6168434,나라면 귀신한테 복수한다. 꼭,Negative,Unclear,Low,ko
10095703,영화가 아니라 TV애니메이션 같았어요. 큰 주제로 이야기를 이끌어나가지 못해 한 영화를 3가지로 나누어 보여주는데 지루했네요..^^,Negative,Negative,Medium,ko
6145837,169회까지 질질 끌다가 막지막회에서 전부 밝히고 끝날 드라마.,Negative,Negative,Medium,ko
2728072,구역질 나는 프랑스 영화... 동성이나 변태소재면 작품성 오케이???,Negative,Negative,High,ko
7568373,마지막까지 꾸역꾸역 보긴했는데 진짜 마지막까지 개뿔도 없음ㅅㅂ최강길드가 왠 듣보잡한테 쳐발리는것도 그렇고 좀 짜증나는 스토리였음괴물 퇴치도 어이없게 사기탬하나로 끝내고 아오 시간낭비 ㅇㅇ 영화감상평 처음 써본다 ㅅㅂ,Negative,Negative,High,ko
7936080,요샌 네이버 평점도 믿을게 못되는군. 행동거지가 예측이될정도니 한심하고. 온갖 바보같은 짓은 다하고 ㅉㅉㅉ평점 8점이라 얼른 봤더니 3명 평가에 다 30대냐...0점이 없는게 안타깝다.,Negative,Negative,High,ko
8209315,작가미친거아니야 왜이래 상식이없자나 완전정신이상자야 어떻게세이가치 살어！,Negative,Negative,High,ko
8476324,원작 모독 영화.. 내시간 ㅜㅜ 로그인해서라도 못보게 말리고싶다. 만화보고 감동해서 영화찾는사람은 그냥 안보는게...,Negative,Negative,High,ko
7610736,이영활 아침 10시에해주길래 우연히 티비틀다보게됐는데 여자애가 어딘가낯이 익긴한데 설마 밀라요보비치겠어?했는데 역시나 밀라였다니 모델로 데뷔한줄 알았는데 영화토박이였구나....너무이뻐서 밀라는 아닌줄 알았는데 너무너무이쁘다밀라...근데 남자주인공변태ㅜ,Negative,Positive,Medium,ko
8661341,물타기 한번 가볼 까나요...ㅎㅎㅎ,Negative,Unclear,Low,ko
6468206,1점만 주자,Negative,Negative,Medium,ko
1820912,애절한 사랑은 인정하는데 지루한 것은 왜 일까,Negative,Negative,Low,ko
8769362,"하,,, 오락영화로서는 괜찮았던 1편이었는데, 2는 걍 이도저도 아닌 쓰레기",Negative,Negative,High,ko
3346615,영국 영화와 콜린퍼스 좋아해서 봤는데 넘 평이하다..그냥 죄책감에 시달리는....,Negative,Negative,Low,ko
8083246,걍 레즈비언 영화네...,Negative,Unclear,Low,ko
8666068,영원히 국내에 소개할 필요가 없다.,Negative,Negative,Medium,ko
10034561,시간 때우기에 좋다...,Negative,Positive,Low,ko
10095702,처음 평점 올리는데 시간이 아깝다,Negative,Negative,Medium,ko
4994410,당시엔 너무 재밌게 본거같은데 지금보면 손발이 오글거린다ㅋㅋ,Negative,Negative,Low,ko
5747479,밑에 1점준 쓰레기들중 한국영화는 죄다 10점주는 M창들 많네 ㅋㅋ,Negative,Unclear,Medium,ko
