id,document,ground_truth,polarity,intensity,lang
6944127,홍승희역의 황선희씨~~연기가 발연기!!!특히 표정연기가 참~~안돼는군요!!! 홍승희만 나오면 어색어색~~극몰입이 떨어지네요,Negative,Negative,High,ko
6402537,글쎄? 치기어린 연출엔 공감없음....곽지민 때문에 별 한개쯤 추가,Negative,Negative,Medium,ko
4851815,싫어하는 친구에게 추천해 줄만한 영화.. 추천해 준 후 연락하지 말기를..,Negative,Negative,High,ko
3673500,이거..별로다,Negative,Negative,Low,ko
9848552,무슨 마약하셨길래 이런생각을 했어요?,Negative,Negative,High,ko
3048173,깡마른 영양실조환자가 푸시업 몇번하고 가오를 잡는 꼴.,Negative,Negative,Medium,ko
9530085,"네이버 평점 안 믿어서 참고 안하고 봤는데..진짜 내 시간 돌려주세요.진짜 편집은 무슨,,일본야동이 이것보단 편집이나 스토리가 낫겠내요.앞으로 꼭 네이버 평점 참고 하겠습니다. 그리니 지우지 마세요. 이연걸의 정무문을 무협영화 4.5로 평점기준",Negative,Negative,High,ko
6296550,진짜 너무한다 ...,Negative,Negative,Medium,ko
9274974,좋은 영화긴하나 밋밋하면서 느릿느릿한 영화. 총 맞는 씬은 하나같이 어설프다..조금 억지도 있는게 아쉽다.,Negative,Negative,Medium,ko
4163614,비추,Negative,Negative,Low,ko
8243725,쓰레기 당장 접으세요 제발요,Negative,Negative,High,ko
9253894,박시연의 연기에 야유를 몸매에 찬사를 보낸다,Negative,Negative,Medium,ko
7385251,오유인들아 평점조작 쫌 그만 해달랑꼐?,Negative,Unclear,Medium,ko
9755453,주제만 확실할 뿐. 재미적인 부분을 심각하게 놓쳤다. 제일 문제는 그렇다고 악평을 하기는 좀 미안한 마음이 들게하는 제일 짜증나는 종류의 영화,Negative,Negative,Medium,ko
6245520,"예술성높은 프랑스영화많은데,,유럽영화라 완전바닥은아니엇지만좀,,,,,",Negative,Negative,Low,ko
7688662,2주만 병원에서 기다렸으면 됐을것을...,Negative,Unclear,Low,ko
5036330,결말없고 스토리 내용 전개 빈약,Negative,Negative,Medium,ko
2108298,너무 많은 너무 다른 장르가 난잡하게 섞여있다.,Negative,Negative,Medium,ko
9438322,대표적으로 과대평가된 미드 중 하나. 티비에서 방영될 당시에도 재미없게 봤음.,Negative,Negative,Medium,ko
9447197,솔직히 이거 평점 너무 막주는거아님?,Negative,Unclear,Low,ko
1739915,낯선 세계에서의 구도기(求道記),Positive,Unclear,Low,ko
8553715,감독판이 최고시다 ㄷㄷㄷ,Positive,Positive,High,ko
5030353,갠적으론 8점정도.. 평점이 넘낮아 10점.,Positive,Positive,Medium,ko
7531957,교황에 대해 더욱더 자세하게 알수있게 한다,Positive,Positive,Medium,ko
269858,GOOD !,Positive,Positive,Medium,ko
9855369,정말 연기력에 눈을뗄수가 없었다 만약 파리로 갔다면 이보다 아주조금이라도 나아질수있었으며 파국만은 피할수 있었을까?,Positive,Positive,Medium,ko
9874452,번외편 아니죠?ㅋㅋㅋ,Positive,Unclear,Low,ko
4265699,ㅋㅋ무조건 10점 만점에 10점!비오는날 심심해서 기대하나도안하고 봤는데 대박!!,Positive,Positive,High,ko
5746410,wow...각본과연출도화려하진않지만...내겐너무사랑스러운영화다...,Positive,Positive,High,ko
8734808,스포츠 영화에서 캐스팅이 얼마나 중요한지를 보여준 영화. 퍼펙터 게임의 발 캐스팅과 비교해 볼만한 작품이지...,Positive,Positive,Medium,ko
