review_id,review_title,review_body,final_polarity,final_intensity,language
en_0452426,BAD,arrived in very bad condition while the packaging was impeccable,Negative,Medium,en
en_0591222,Does not seem durable - snap top already cracked.,Open the box and discover a top side snap already cracked. I want to give this a chance but wonder about the durability of this product now.,Negative,Medium,en
en_0243936,"DID NOT WORK, COULD NOT BE CODED","PURCHASE WITH UNDERSTANDING THAT THE KEY WORK, FOR MY CAR, YEAR AND MAKE..... BROUGHT TO HAVE IT CUT AND KEYED.... CUT BUT COULD NOT BE CODED... SO USELESS..... BEST GO TO DEALER... IN LONG RUN.... I HAD LOST MONEY TRYING TO GET IT TO WORK... SO LOST MONEY... AND STILL DO NOT HAVE THE AUTO KEY I NEED......",Negative,High,en
en_0712253,Shipped wrong product,Order was for UNSCENTED. Received scented!,Negative,Medium,en
en_0186916,Hard to believe!,"UPDATE: The seller send out another tent for me, BUT THE WRONG ONE!!! The canopy that initially bought had all the sides included, but the replacement DIDN'T. They answered me very fast! Excellent costumer service, BUT again, sent me the wrong item. I'm contacting them again and HOPEFULLY getting the right item at my door! I'll update this review accordingly. It is hard to believe that this ""GREAT"" tent didn't pass to the test of a VERY light rain. AND the first rain it ever had. Just hard to believe. First of all and don't get me wrong; this tent is large, beautiful, easy to assemble/disassemble AND very sturdy (Supposed to!) I have this tent for literally 1 month and 1 week without any problem. NONE! Until today after work! Just could not believe when I got back from work I saw half of the tent on the floor. I use the tent to cover some artwork that are in process and some are work that'r done. Luckily, I covered everything that I create for extra security. I have not contacted the company for I REALLY want to give a 5 stars for this product. I want to test their responsibility for this damage, for paying $200 dollars for this product I expected it being able to hold at least a small ""glass of water coming from the sky"", thing that it didn't. I'm not sure if the product had any problem, and if had, I wasn't aware of. I definitely don't ask for many refund, but for a new tent. When I get the feedback form the seller (hope) I update this review accordingly. For now, if I could give Zero Star I would.",Negative,High,en
en_0236997,Did not work,"I bought this to sharpen my Wustof Ikon knife set, but it did not work. In fact it seem to strip the edge off my knives and make them worse than ever.",Negative,High,en
en_0106298,One Star,I ordered xxx- large and they sent size medium.,Negative,Medium,en
en_0210313,What's wrong with this app,"2hrs trying to sign.....kept telling me wrong user id or password. If I said I forgot and wanted to reset, it would ask for my email address then proceed to tell me my email address was wrong. Got really frustrated and haven't tried since!!!!",Negative,High,en
en_0527053,Quality was not good.,Feels cheap. It fits though.,Negative,Medium,en
en_0701693,One Star,"Just the sticker , scam",Negative,High,en
en_0087265,Not pleased with process to return,Grandson wears size 14. Has had Many pair of nikes. First pair that didn’t fit.,Negative,Medium,en
en_0829326,Not much light even after all day in the sun,"These solar lights are to help illuminate our pool deck and patio; however, even after charging in the sun all day, the light given off is very weak and could be a safety hazard.",Negative,Medium,en
en_0097412,They were beautiful though. Wish I had another pair,crotch came apart. They were beautiful though. Wish I had another pair. Had to send these back.,Negative,Medium,en
en_0576739,Yawn,Disappointed and bored. I was expecting a lot more action.,Negative,Medium,en
en_0049996,Prone to scratches.,The glass on the screen is very prone to scratches.,Negative,Medium,en
en_0023683,poor 3D printer quality,Very unfinished. Rough surface.... poor 3D printer quality,Negative,Medium,en
en_0281032,Can’t tell the difference,I tried with and without the filters and can’t tell the difference. I am extremely particular about the water I drink so it’s not like I just couldn’t tell the difference. The filters don’t fit securely in the cartridge holder so if they make any difference at all you can’t tell maybe because the water passes around the filters rather than through them. I do not recommend.,Negative,Medium,en
en_0987542,Not the best tasting in my opinion,Just not crazy about the flavor.,Negative,Medium,en
en_0517055,Broken case and loose disc..,Well i love this movie but the inside of the case was broke and the disc was scratched up from being loose in the case. Really disappointed,Negative,High,en
en_0075327,Does it’s job with some struggling.,"I bought this can opener for my mother who has trouble opening cans due to a hand injury. This can opener does its job but it has a hard time opening cans, it sounds like the batteries are going to die even though they are brand new, it turns super slow and I almost think it sounds like it wants to break. Overall it’s still kicking but I would have rather bought a old fashion plug in can opener.",Negative,Medium,en
