id,document,ground_truth,polarity,intensity,lang
1964094,답을 알려고 하지마라.,Positive,Unclear,Low,ko
9686025,과거 이야기가 좀 부족해서 아쉬운거만 빼곤 아주 좋았음. 누구 말처럼 맥어보이가 혼자 영화를 끌고 가고 있는게 느껴지니 대단하다. 마치 철학적인 의미가 담긴 블랙 코미디 라고나 할까?,Positive,Positive,Medium,ko
9543746,박철민씨와 서인국씨의 콤비 호흡이 좋았네요통속적일수있지만 하이틴영화로 보기엔 나쁘지않았음수영소재가 신선,Positive,Positive,Medium,ko
1098677,주윤발의 총쏘는 포즈는 정말 일품!!!,Positive,Positive,High,ko
9726450,원스 비긴어게인 어거스트러쉬 이 세 영화를 봤다.마지막에 본게 어거스트러쉬 인지는 몰라도 최고다 정말..,Positive,Positive,High,ko
9917661,성룡에 홍금보에 대박..,Positive,Positive,High,ko
8640304,어렸을때 본기억이 있어서 지금보면 어떨까 해서 한번 봤는데.. 너무 재밌더라 억지같은 설정이나 소품도 없고 그리고 아프리카 원주민들 나오는 씬은 정말 주의깊게 봤음.,Positive,Positive,High,ko
6893073,여운이 길다. 공포영화라기 보다는 한편의 드라마.,Positive,Positive,Medium,ko
3274238,"나홀로 1개대대를 때려잡는,, 마지막엔딩이 슬프다",Positive,Positive,Medium,ko
8556147,10번넘게 본듯 심심할때마다 봄,Positive,Positive,High,ko
2958419,재미있었어요 ^ ^~,Positive,Positive,Medium,ko
8426767,솔직히 말해서 쩔었다.. 처음부터 끝까지 어디로 튈지 모르는 이야기 그리고 열린 마무리...ㅋㅋ,Positive,Positive,High,ko
9336288,오늘의 난 내일의 너를 원한다.. 오늘 보고있어도 내일 당장 보고싶다.. 항상 그립다.,Positive,Positive,High,ko
10126010,나의 인생의 대해 다시한번 생갓할 수 있게 해주는 영화,Positive,Positive,Medium,ko
6328119,오잉ㅋㅋㅋ이거 영화도 있음??ㅋㅋㅋ,Positive,Unclear,Low,ko
1404443,먹먹한 상처와 조용히 다가오는 치유,Positive,Positive,Medium,ko
7758301,야한 영화라고 생각하고 봤는데 정말 많은 것을 깨닫게 해줬습니다. 인생을 새롭게 생각하게 해주는 영화. 최고네요.,Positive,Positive,High,ko
8210188,사람마다 느끼는게 다르겠지만 전 정말 재밌게 봤습니다.,Positive,Positive,High,ko
7748303,정말 재미있어요^^,Positive,Positive,High,ko
9662309,이런영화는 처음이에요..잘못받아서 보게됬는데 재밌네요..!,Positive,Positive,Medium,ko
7481879,볼만해요 ㅋ_ㅋ,Positive,Positive,Low,ko
1907873,괜찬앗다 시간 킬링 용 으로 따라올것이 없다,Positive,Positive,Medium,ko
5188151,"가족들끼리 보면 재미있네요..... 중간 중간에 개그도 있고, 마지막의 승리 까지...",Positive,Positive,Medium,ko
4131885,"깊이있는 내용, 깊이있는 연기",Positive,Positive,Medium,ko
3412424,1점과 10점 둘다 이해가 가는 영화. 정말 지루하지만 9점을 주게되는 독특한 영화,Positive,Positive,Medium,ko
7452843,시걸 성님의 걸작,Positive,Positive,High,ko
7060387,최고다!!!,Positive,Positive,High,ko
7214648,코타케 넘귀여워 앙 ㅠㅠㅠ 마지막 멈춤표시도 놀랐고 좋다,Positive,Positive,Medium,ko
1531835,흥미로 점수 주는거 아니다 인정할건 인정하는 자세도 필요,Positive,Unclear,Low,ko
6226344,신화진짜 대박입니다.bbbbbb 유앤아이는 게스트사전조사좀 철저히 하시길,Positive,Positive,Medium,ko
