image_name,reference_object_id,repeat_class,repeat_x_min,repeat_y_min,repeat_x_max,repeat_y_max,reference_class,ref_x_min,ref_y_min,ref_x_max,ref_y_max,iou
image_01.jpg,C01_OBJ_002,Barrier,2.03,456.8,252.41,578.57,Barrier,2.03,463.32,255.79,582.82,0.9029783071880771
image_01.jpg,C01_OBJ_007,Construction Vehicle,0.0,401.5,237.74,459.02,Construction Vehicle,0.9,399.25,238.87,461.28,0.9196647190840297
image_02.jpg,C02_OBJ_001,Car,713.68,411.6,747.6,434.21,Car,870.72,414.64,905.05,444.81,0.0
image_02.jpg,C02_OBJ_004,Car,0.0,506.39,90.0,757.89,Car,0.0,506.43,93.8,759.06,0.9548995468157486
image_03.jpg,C03_OBJ_002,Car,721.83,427.4,748.65,453.0,Car,721.59,425.69,746.1,452.12,0.8168903278144131
image_03.jpg,C03_OBJ_005,Truck,889.93,425.55,923.11,456.8,Truck,891.08,424.88,924.9,456.84,0.8962351029664718
image_04.jpg,C04_OBJ_014,Car,952.78,482.51,983.95,522.11,Car,950.85,483.82,983.6,524.9,0.8431653748967045
image_04.jpg,C04_OBJ_008,Traffic Cone,788.96,491.25,798.14,516.17,Traffic Cone,736.79,498.72,741.8,515.0,0.0
image_05.jpg,C05_OBJ_003,Car,951.65,443.23,978.72,491.73,Car,953.91,443.23,984.36,498.5,0.6712581826823504
image_05.jpg,C05_OBJ_001,Pedestrian,1110.7,403.76,1163.7,558.27,Pedestrian,154.3,422.93,209.5,548.12,0.0
image_06.jpg,C06_OBJ_001,Traffic Cone,519.33,522.1,527.4,552.3,Traffic Cone,463.8,510.0,472.4,536.4,0.0
image_06.jpg,C06_OBJ_004,Traffic Cone,532.0,524.9,540.7,557.6,Traffic Cone,498.8,517.6,509.9,544.7,0.0
image_07.jpg,C07_OBJ_002,Trailer,1493.0,497.3,1600.0,553.3,Trailer,1493.23,496.35,1595.86,550.49,0.8964432292741347
image_07.jpg,C07_OBJ_003,Car,1124.21,499.62,1162.56,533.46,Car,1342.3,515.5,1418.07,541.7,0.0
image_08.jpg,C08_OBJ_005,Traffic Cone,718.91,522.7,724.74,545.16,Traffic Cone,725.0,526.12,734.4,543.4,0.0
image_08.jpg,C08_OBJ_006,Pedestrian,878.45,497.75,890.94,508.3,Pedestrian,878.6,496.4,892.2,509.12,0.7457389252153099
