id,document,label
574370,신승수가 연출한게 아니라고 믿고싶군,0
3428232,시대 배경만 매력적 .,0
4333339,"박사 둘 포함 5명 죽이고, 파리병 남한테 옮기기 성공...GoGo 파리맨?;;",0
1768626,정말 실타,0
8172264,하긴 이런영화에 평점 남기는 사람들이란 머..평점이 하도 어이없어 나도 남기네,0
8957266,재미없다 너무 현실성 없게 스토리가 이어진다,0
7980366,남는게 없다,0
5519473,이걸 본 내가 대단하다. 내용도 개연성도 재미도 ...,0
3217205,이딴 영화가 무슨 공포물이라고...차라리 13고스트가 더 낫지 싶네요,0
315189,호러다큐멘터리라고 잔뜩기대했지만. 호러가 아니었다;,0
5705366,지루함,0
9423158,고증과 사료 파괴 판타지 사극이 또 하는구나~ 노잼 ㅎ,0
10273958,그냥 떡밥만 막 던지다 끝나는 영화,0
8902111,"춤을 제대로 담아내는 것도 아니고, 로맨틱을 제대로 담아내는 것도 아니다. 차라리 뮤직비디오가 더 멋있을 정도. 보아 팬이라서 봤지만 보아의 매력도 못담아낸 영화. 내 소액결제 아까움",0
2157508,이해할려고 많이 노력했었는데.. 미안해;,0
9918214,러닝타임이 93분에 불과한데도 지루하군,0
2861986,불끄고 새벽2시에 창문열고 혼자 보는 영화는 안무서운 영화 없다 그게 이 영화 한계,0
8021294,그냥 콜오브듀티 플레이영상을 영화화 시키는게 현명할 듯 하다.,0
5910838,별로..,0
7858475,일본침몰 안한다면서요??,0
6032569,너무 오글거려,0
4739501,이영화보고 빢쳐서 별점깍으러왓음ㅡㅡ,0
698325,하하하하 나도 안무서운 공포물이있었다니.,0
10092472,기독교 빠들이 빠는 영화. 좋댄다 ㅋㅋ,0
8639783,빈 디젤의 SF액션을 가장한 3류 호러 영화.. 시작은 스펙타클하나 끝은 DVD 대여값도 아까울지다..,0
1375489,기대했던 것보다 최악은 아니라서 다행이다,0
3949500,악 !!!! 짜 증 나 .,0
9692147,영화필름으로 줄넘기를 만들어서 넘는것이 더 효율적이었을것 같다 필름으로도 똥을 만들수 있구나,0
492523,이것도 영화라고 산만한거 맞음..,0
8712975,다이애나를 평민으로 만든 영화,0
3013876,"평보고 DVD사서 봤는데..배우들 발연기,허접한 리얼리티와 스토리..아래 평에 낚였다",0
7735285,고양이는 괴롭히면 안되고 사람은 막죽여도 된다는 거여?,0
8609521,와우!!이건 봐야해!!,0
3577649,사람 바보 만드는거 한순간... 결말이 이게뭐야???,0
9305334,헐 진짜 기대하고 봤는데 뭐임?? 자격도 없으면서 대리교사라고 들어가서 아무것도 안할때부터 완전 비호감.. 계속 비호감임 왜 학교 잘다니는 애들가지고 그러는건지 이해도 안되고 진짜 어후 캐릭터 완전싫어,0
5767972,볼수록 할말없어짐.,0
10020831,저도 평점 10점 줄까하다 참습니다 제가 부디 마지막 희생양이 되었기를...,0
5180398,인디애나존스3에서 감명받은 감독이 좋은 원작을 가지고 우뢰매를 만들다.,0
5704042,빠순이 빨로 평점 6점대 유지중임 ㅇㅅㅇ,0
9586682,유치함. 개연성 없음. 전형적인 아동용 판타지영화. 평점에 속았다. 매튜본 감독의 엑스맨 퍼스트클래스를 재밌게 본 나로선 기대와 달리 최악이었던 영화,0
7177845,좋은 소재를 후다닥 대충 액션으로 해치우다.,0
8469417,별 하나도 아깝다는.. 밑에 10점 9점 감독 가족 친구들이냐?,0
6278939,잘못된만남~ ㅜ,0
9123931,이정도로노잼영화는처음본다..ㅎ.... 이거본 후로는 딴사람들이재미없다고한영화도재밌게보게된다,0
5556888,이제 홍콩영화를 그만 봐야 할 때가 되었나? 어라. 이건 중국 영화네... 음...,0
6344220,이런 식의 공포물은 별로,0
3843038,여자친구랑 보러 갓다가 진짜 아직도 영화보러가자고 하기 민망하다 OO,0
2943784,우뢰매수준의 그래픽 ㅡㅡ; 반전도 어린이영화수준이다. 왜케 평점 높은거야?,0
5463285,뇌가 없어도 감상하는데 지장이 없는 영화,0
6574838,최악의 영화 중 하나,0
5824175,어휴 이거 영화니?,0
6231066,알바들 다 죽어라 ㅋㅋㅋ,0
9710041,조온나 지루함. 중도하차잼,0
7865707,연기 드럽게 목하는색이가 무쉰 주인공 한다고... 담부터 절대 연기하지마라 OO아,0
1815064,재미없어 킬빌이 더 낳아 -_- 킬빌이랑 비교도 안되는구만 .,0
6781382,의형제인 카오맨이 배신하는 동기나 그 이후에 진횡을 휘두르는 전개가 너무 말도 않되는 억지다. 아무리 군벌이 득세하는 혼란기였다해도 모시던 장군을 대놓고 배신하고 반대하는 부하들이나 타 군벌의 장군들을 무조건 총칼로 위협해 다 굴복시키고...무슨..,0
8897029,윤아가말이되나요제발다시생각해주길바래요ㅜ진짜연기자다운사람으로진짜어딜윤아가 .. .. 제발거짓말이라고해줘요,0
8815444,독립영화 보다 못한 게OOO영화,0
2230701,좀 더 포장을 해주시지..,0
9318206,난2등이라 2점 ㅋ드립니당,0
579912,프레디 디지다........,0
9777516,여기 그어디에도 최고급리조트는 안나온다.작가는 리조트에서 놀아본적이 없나봐~ 이 영화에 돈이 제일 많이 들어간곳은 아마도 오징어 먹물일듯!!,0
10032742,정말 솔직하게 말하는데.재미없어요.,0
9387278,경호원들은 밖에 무장병력이 많은거 알텐데 거기에다 딸랑 권총들고 닥돌하는거보면;,0
3810887,더럽게 재미엇ㅂ다 진짜 이것도 후한 점수,0
3286373,4편까지 만들어서 망신 당하는 꼴은 안 봤으면.,0
3141770,귀여운 제니퍼 하는짓은 별로 안귀엽네.,0
9224415,트랜스포머라는 영화의 진화는 곳 멸망?,0
7596657,진짜 오글거림ㄷ 포화속으로 보다가 김혜성 귀여워 보여서 이 영화 봤는데 진짜 이 영화 별로임ㄷ 내가 점수 후하게 주는데 이영화는 1점조차 아깝달까?,0
6803263,아 진짜 안볼려고 하는데 자꾸 보고있는 나~보고있으면 열받고~~강이경 처음에는 불쌍하다고 생각했는데 이제 짜증난다 착한척도 정도것이지~~ 그만 착한척 하고 반전을 보여주시징~~,0
2527076,쇠맛의 역묶음질.,0
9137252,예고편 보니까 점수주면안될정도인데 누가 당할까봐 적어둠,0
4643740,무슨 삼류영화에 연기력 바닥인 사람들 엄청나옴 ㅋㅋ총싸우는거 보면 정말 코메디,0
8453160,개연성도 없고 액션은 쌍팔년도도 내가 이걸왜보고싶고내시간 돌려줘 진짜 머 이딴영화가 다있노 진심 시간낭비하지마시길...,0
5791021,다들 대단하심~ 개인적으로 보지말았어야할 영화네요. 감당키어려운 소재였음..ㅡㅡ;,0
8557646,난 지루하던데 왜 평점이 높지??,0
3809220,나도 욕나오는...,0
8385943,소와 함께하는 선문답 장난질. 이런 맙소사!,0
9750870,촌사러 이상한영허ㅏ 짜증남,0
7835408,소설이 더 낫다...ㅜㅜ,0
6168434,나라면 귀신한테 복수한다. 꼭,0
10095703,영화가 아니라 TV애니메이션 같았어요. 큰 주제로 이야기를 이끌어나가지 못해 한 영화를 3가지로 나누어 보여주는데 지루했네요..^^,0
6145837,169회까지 질질 끌다가 막지막회에서 전부 밝히고 끝날 드라마.,0
2728072,구역질 나는 프랑스 영화... 동성이나 변태소재면 작품성 오케이???,0
7568373,마지막까지 꾸역꾸역 보긴했는데 진짜 마지막까지 개뿔도 없음ㅅㅂ최강길드가 왠 듣보잡한테 쳐발리는것도 그렇고 좀 짜증나는 스토리였음괴물 퇴치도 어이없게 사기탬하나로 끝내고 아오 시간낭비 ㅇㅇ 영화감상평 처음 써본다 ㅅㅂ,0
7936080,요샌 네이버 평점도 믿을게 못되는군. 행동거지가 예측이될정도니 한심하고. 온갖 바보같은 짓은 다하고 ㅉㅉㅉ평점 8점이라 얼른 봤더니 3명 평가에 다 30대냐...0점이 없는게 안타깝다.,0
8209315,작가미친거아니야 왜이래 상식이없자나 완전정신이상자야 어떻게세이가치 살어！,0
8476324,원작 모독 영화.. 내시간 ㅜㅜ 로그인해서라도 못보게 말리고싶다. 만화보고 감동해서 영화찾는사람은 그냥 안보는게...,0
7610736,이영활 아침 10시에해주길래 우연히 티비틀다보게됐는데 여자애가 어딘가낯이 익긴한데 설마 밀라요보비치겠어?했는데 역시나 밀라였다니 모델로 데뷔한줄 알았는데 영화토박이였구나....너무이뻐서 밀라는 아닌줄 알았는데 너무너무이쁘다밀라...근데 남자주인공변태ㅜ,0
